r_um,h_waves_633nm,thickness_um
1.377377377377377343e+03,1.207551061963246575e+00,1.528759644445470078e+00
1.381381381381381289e+03,5.990957567275211337e-01,7.584552280170417937e-01
1.385385385385385234e+03,3.050498110369417315e-01,3.861930607727682707e-01
1.389389389389389180e+03,5.543257675182663435e-01,7.017764216781251507e-01
1.393393393393393353e+03,1.101124139354077602e+00,1.394023160422262375e+00
1.397397397397397299e+03,1.464323796213124584e+00,1.853833926005815647e+00
1.401401401401401245e+03,1.366700954190162465e+00,1.730243408004745742e+00
1.405405405405405418e+03,9.665263395852989881e-01,1.223622345914988641e+00
1.409409409409409363e+03,6.806727623116826109e-01,8.617317170865901321e-01
1.413413413413413309e+03,7.821630497400303694e-01,9.902184209708784213e-01
1.417417417417417255e+03,1.153403918989288623e+00,1.460209361440439446e+00
1.421421421421421428e+03,1.414438261386383733e+00,1.790678838915161775e+00
1.425425425425425374e+03,1.290124743809785368e+00,1.633297925663188321e+00
1.429429429429429319e+03,8.677454160971831421e-01,1.098565696779033818e+00
1.433433433433433265e+03,5.139056325125611613e-01,6.506045307609025219e-01
1.437437437437437438e+03,5.408891804043901574e-01,6.847657023919578867e-01
1.441441441441441157e+03,9.338997938943991439e-01,1.182317139070309331e+00
1.445445445445445330e+03,1.378325457215950456e+00,1.744960028835393251e+00
1.449449449449449503e+03,1.544988277637765917e+00,1.955955159489411788e+00
1.453453453453453449e+03,1.367280802345265833e+00,1.730977495769106644e+00
1.457457457457457394e+03,1.071517303075816940e+00,1.356540905693984334e+00
1.461461461461461340e+03,9.558784613383362050e-01,1.210142132054333519e+00
1.465465465465465513e+03,1.130699260076183155e+00,1.431465263256447962e+00
1.469469469469469232e+03,1.445591294068548693e+00,1.830118578290782727e+00
1.473473473473473405e+03,1.646079014585329681e+00,2.083936032465027566e+00
1.477477477477477350e+03,1.601981672081452146e+00,2.028108796855118356e+00
1.481481481481481296e+03,1.405634099533231041e+00,1.779532770009070619e+00
1.485485485485485242e+03,1.270382847027892836e+00,1.608304684337312329e+00
1.489489489489489415e+03,1.335897626452474896e+00,1.691246395088833232e+00
1.493493493493493588e+03,1.553150601664860408e+00,1.966288661707713326e+00
1.497497497497497307e+03,1.736692180639324068e+00,2.198652300689384553e+00
1.501501501501501480e+03,1.725059188459589166e+00,2.183924932589840218e+00
1.505505505505505425e+03,1.509967690124444317e+00,1.911619095697546511e+00
1.509509509509509371e+03,1.236545771690173767e+00,1.565466946959759964e+00
1.513513513513513317e+03,1.089001066858978017e+00,1.378675350643466135e+00
1.517517517517517490e+03,1.160069051194398071e+00,1.468647418812107919e+00
1.521521521521521436e+03,1.398959524096800022e+00,1.771082757506548866e+00
1.525525525525525381e+03,1.660402434575065644e+00,2.102069482172033155e+00
1.529529529529529327e+03,1.803819665187038179e+00,2.283635696126790737e+00
1.533533533533533500e+03,1.770047292034693021e+00,2.240879871715921290e+00
1.537537537537537219e+03,1.595912465365539656e+00,2.020425181152773142e+00
